Word,Upper,BE_TWord,AM_TWord,RatperWord,AoAestimate,SD,min,max,unknown,AoALikert,SDLikert,minLikert,maxLikert
Allergie,ALLERGIE,allergy,allergy,19,6.89,2.62,4,14,0,3.74,1.24,2,7
allergisch,ALLERGISCH,allergic,allergic,24,8.17,3.43,2,16,0,4.21,1.59,1,7
Alltag,ALLTAG,daily routine,daily routine,18,7.28,1.81,4,11,0,3.89,0.90,2,6
Alm,ALM,alp,alp,21,8.05,3.23,4,15,0,4.19,1.57,2,7
Almosen,ALMOSEN,alms,alms,18,10.78,3.19,6,18,0,5.44,1.29,3,7
Alphabet,ALPHABET,alphabet,alphabet,18,5.39,1.33,3,8,0,2.94,0.73,2,4
alphabetisch,ALPHABETISCH,alphabetic,alphabetic,24,6.63,1.47,5,12,0,3.46,0.78,3,6
alt,ALT,old,old,17,3.47,1.37,1,6,0,1.94,0.66,1,3
Altar,ALTAR,altar,altar,19,5.89,3.03,2,15,0,3.16,1.42,1,7
Alter,ALTER,age,age,21,3.60,1.36,1.5,7,0,2.14,0.79,1,4
Alternative,ALTERNATIVE,alternative,alternative,14,9.29,2.95,4,16,0,4.71,1.33,2,7
Aluminium,ALUMINIUM,aluminium,aluminum,24,9.17,2.96,3,14,0,4.79,1.41,2,7
Amateur,AMATEUR,amateur,amateur,27,11.22,3.11,6,17,0,5.56,1.31,3,7
Amboss,AMBOSS,anvil,anvil,16,8.25,3.45,3,16,0,4.31,1.49,2,7
Ameise,AMEISE,ant,ant,10,4.60,1.51,2,7,0,2.50,0.85,1,4
Ampel,AMPEL,traffic light,traffic light,20,3.65,1.53,2,7,0,2.10,0.91,1,4
Ampulle,AMPULLE,ampoule,ampoule,18,9.39,3.16,3,15,0,4.78,1.44,2,7
Amsel,AMSEL,blackbird,blackbird,19,4.21,1.32,2,7,0,2.32,0.67,1,4
Amt,AMT,position,position,19,8.47,3.37,4,16,0,4.32,1.53,2,7
Amulett,AMULETT,amulet,amulet,25,10.20,3.27,4,18,0,5.12,1.45,2,7
Anagramm,ANAGRAMM,anagram,anagram,23,13.78,4.91,0,25,2,6.13,1.49,1,7
Analyse,ANALYSE,analysis,analysis,18,11.39,2.62,7,16,0,5.83,1.20,4,7
Anarchie,ANARCHIE,anarchy,anarchy,16,12.44,3.18,6,21,0,6.06,1.12,3,7
Anbau,ANBAU,cultivation,cultivation,25,7.28,2.57,3,13,0,3.88,1.33,2,7
anbauen,ANBAUEN,cultivate,cultivate,14,7.21,2.33,3,12,0,3.86,1.10,2,6
anbieten,ANBIETEN,offer,offer,19,5.84,2.89,3,15,0,3.16,1.30,2,7
Änderung,ÄNDERUNG,modification,modification,17,6.06,2.19,3,10,0,3.29,1.05,2,5
Anekdote,ANEKDOTE,anecdote,anecdote,20,10.95,3.17,5,16,0,5.50,1.36,3,7
anerkennen,ANERKENNEN,acknowledge,acknowledge,27,9.00,2.90,3,15,0,4.70,1.35,2,7
anfällig,ANFÄLLIG,susceptible,susceptible,26,8.15,2.80,4,15,0,4.27,1.31,2,7
Anfang,ANFANG,beginning,beginning,19,4.47,1.78,2,10,0,2.47,0.90,1,5
anfangen,ANFANGEN,start,start,25,4.56,2.04,2,11,0,2.60,1.04,1,6
Anflug,ANFLUG,approach,approach,19,8.05,2.91,3,14,0,4.26,1.41,2,7
angeben,ANGEBEN,specify,specify,17,5.88,2.20,2,10,0,3.12,1.11,1,5
Angebot,ANGEBOT,quote,quote,19,7.58,2.61,4,15,0,4.00,1.20,2,7
angehen,ANGEHEN,start,start,18,8.11,3.34,4,15,0,4.17,1.62,2,7
Angel,ANGEL,fishing rod,fishing rod,19,4.84,2.73,2,12,0,2.53,1.35,1,6
angeregt,ANGEREGT,excited,excited,24,9.17,3.07,2,14,0,4.71,1.55,1,7
Angler,ANGLER,angler,angler,18,4.89,2.49,2,10,0,2.67,1.14,1,5
anhäufen,ANHÄUFEN,accumulate,accumulate,19,6.79,2.32,3,11,0,3.63,1.16,2,6
anheizen,ANHEIZEN,hot up,hot up,16,6.75,2.08,4,10,0,3.56,1.09,2,5
Anker,ANKER,anchor,anchor,18,4.94,1.51,3,8,0,2.67,0.69,2,4
Anklage,ANKLAGE,prosecution,prosecution,24,9.13,2.19,6,13,0,4.83,1.05,3,7
Anlauf,ANLAUF,run-up,run-up,25,5.84,2.12,3,10,0,3.08,1.04,2,5
Anlaufstelle,ANLAUFSTELLE,port of call,port of call,25,9.96,3.27,5,18,0,5.08,1.29,3,7
anlegen,ANLEGEN,don,don,25,7.56,3.24,2,14,0,3.96,1.59,1,7
Anleihe,ANLEIHE,bond,bond,26,13.27,3.92,2,20,0,6.15,1.38,1,7
anlocken,ANLOCKEN,lure,lure,25,5.80,2.47,2,14,0,3.20,1.29,1,7
anlügen,ANLÜGEN,lie ,lie ,21,4.57,1.80,2,9,0,2.48,0.98,1,5
Anmarsch,ANMARSCH,advance,advance,19,8.47,3.96,3,21,0,4.21,1.44,2,7
Anmut,ANMUT,gracefulness,gracefulness,17,10.18,3.28,5,15,0,5.35,1.50,3,7
anmutig,ANMUTIG,graceful,graceful,25,9.80,3.10,3,16,0,5.08,1.41,2,7
Annahme,ANNAHME,assumption,assumption,27,9.74,3.38,2,18,0,4.89,1.42,1,7
annehmen,ANNEHMEN,assume,assume,527,6.61,2.50,2,16,0,3.53,1.23,1,7
anonym,ANONYM,anonymous,anonymous,20,9.40,3.19,5,15,0,4.80,1.47,3,7
Anprobe,ANPROBE,fitting,fitting,10,7.10,2.51,3,10,0,3.80,1.03,2,5
Anregung,ANREGUNG,stimulation,stimulation,19,8.47,2.50,3,13,0,4.47,1.22,2,7
Anreiz,ANREIZ,incentive,incentive,10,10.00,4.45,4,20,0,4.80,1.55,2,7
Anruf,ANRUF,phone call,phone call,18,4.94,1.95,2,9,0,2.61,0.98,1,5
anrufen,ANRUFEN,ring up,ring up,27,4.30,1.98,1,10,0,2.44,1.01,1,5
Ansporn,ANSPORN,motivation,motivation,19,9.37,3.22,4,16,1,4.79,1.40,2,7
ansprechen,ANSPRECHEN,speak to,speak to,17,5.24,2.05,2,10,0,2.76,1.03,1,5
anstehen,ANSTEHEN,queue,stand in a line,16,4.69,1.14,3,6,0,2.56,0.51,2,3
anstelle,ANSTELLE,instead of,instead of,17,7.65,2.89,4,14,0,4.06,1.39,2,7
Anstellung,ANSTELLUNG,employment,employment,25,10.40,3.18,3,16,0,5.32,1.41,2,7
Anstieg,ANSTIEG,rise,rise,23,7.57,2.97,3,13,0,4.00,1.51,2,7
Anteil,ANTEIL,share,share,26,8.31,3.11,4,14,0,4.31,1.54,2,7
Antlitz,ANTLITZ,countenance,countenance,18,9.56,3.38,4,15,0,4.83,1.65,2,7
Antrag,ANTRAG,proposal,proposal,24,10.33,3.42,5,19,0,5.13,1.23,3,7
Antwort,ANTWORT,answer,answer,19,3.26,1.73,2,8,0,1.74,0.93,1,4
Anwalt,ANWALT,lawyer,lawyer,19,8.74,2.90,4,16,0,4.47,1.31,2,7
Anzahl,ANZAHL,quantity,quantity,14,6.79,2.46,3,12,0,3.50,1.16,2,6
Apfel,APFEL,apple,apple,14,2.71,0.99,1,5,0,1.64,0.63,1,3
Apotheke,APOTHEKE,pharmacy,pharmacy,22,5.91,2.39,3,12,0,3.23,1.07,2,6
Appetit,APPETIT,appetite,appetite,24,5.54,2.38,2,12,0,3.08,1.14,1,6
Applaus,APPLAUS,applause,applause,23,6.26,2.68,2,12,0,3.30,1.43,1,6
Aprikose,APRIKOSE,apricot,apricot,24,6.17,3.66,1,16,0,3.21,1.69,1,7
April,APRIL,April,April,25,4.76,1.45,1,8,0,2.64,0.76,1,4
Aquarium,AQUARIUM,aquarium,aquarium,14,6.14,1.46,3,8,0,3.21,0.70,2,4
Äquator,ÄQUATOR,equator,equator,27,8.19,2.02,4,12,0,4.30,1.03,2,6
Ära,ÄRA,era,era,27,10.96,2.79,4,16,0,5.67,1.27,2,7
Arbeit,ARBEIT,work,work,16,4.63,2.33,1,10,0,2.56,1.09,1,5
arbeiten,ARBEITEN,work,work,25,4.20,1.68,2,9,0,2.36,0.91,1,5
Arbeiter,ARBEITER,worker,worker,24,4.75,1.89,2,10,0,2.54,0.98,1,5
Architekt,ARCHITEKT,architect,architect,25,9.56,2.93,4,16,0,4.88,1.36,2,7
Archiv,ARCHIV,archive,archive,19,10.58,2.91,6,17,0,5.26,1.28,3,7
arg,ARG,severe,severe,23,8.30,3.53,3,16,0,4.26,1.54,2,7
Ärger,ÄRGER,annoyance,annoyance,24,3.79,1.50,1,6,0,2.17,0.70,1,3
Ärgernis,ÄRGERNIS,nuisance,nuisance,26,7.73,2.46,2,14,0,4.04,1.25,1,7
Argwohn,ARGWOHN,mistrust,mistrust,22,10.82,3.62,4,16,0,5.41,1.53,2,7
Arm,ARM,arm,arm,14,2.54,1.52,1,7,0,1.50,0.85,1,4
Armee,ARMEE,army,army,18,7.56,2.75,4,12,0,4.00,1.33,2,6
Armut,ARMUT,poverty,poverty,25,7.32,2.17,3,12,0,3.84,1.07,2,6
Aroma,AROMA,aroma,aroma,18,8.56,2.87,4,14,0,4.44,1.34,2,7
arrogant,ARROGANT,arrogant,arrogant,24,9.29,2.68,5,15,0,4.88,1.30,3,7
Arroganz,ARROGANZ,arrogance,arrogance,19,10.58,2.52,5,16,0,5.47,1.22,3,7
artig,ARTIG,well-behaved,well-behaved,18,4.22,2.24,2,12,0,2.28,1.07,1,6
Arzt,ARZT,doctor,doctor,24,3.25,1.45,1,7,0,1.92,0.83,1,4
Asche,ASCHE,ash,ash,27,5.37,2.48,2,14,0,2.89,1.25,1,7
Ästhetik,ÄSTHETIK,aesthetics,aesthetics,22,12.14,2.27,7,16,0,6.18,0.96,4,7
Astronaut,ASTRONAUT,astronaut,astronaut,17,6.82,4.75,4,24,0,3.35,1.32,2,7
Asyl,ASYL,asylum,asylum,10,11.50,2.64,6,15,0,5.80,1.23,3,7
Athlet,ATHLET,athlete,athlete,22,8.77,3.01,3,15,0,4.59,1.47,2,7
Atlas,ATLAS,atlas,atlas,25,6.64,1.68,3,10,0,3.60,0.82,2,5
Atmung,ATMUNG,breathing,breathing,19,5.92,1.90,3.5,9,0,3.16,1.07,2,5
attraktiv,ATTRAKTIV,attractive,attractive,14,9.07,2.67,2,12,0,4.71,1.38,1,6
Attrappe,ATTRAPPE,dummy,dummy,15,9.73,3.43,5,16,0,5.00,1.51,3,7
aufatmen,AUFATMEN,breathe a sigh of relief,breathe a sigh of relief,18,8.00,2.77,2,14,0,4.17,1.38,1,7
Aufbau,AUFBAU,assembling,assembling,19,6.00,2.69,3,14,0,3.26,1.33,2,7
aufbauen,AUFBAUEN,put up,put up,18,4.83,1.72,2,8,0,2.72,0.89,1,4
Aufbruch,AUFBRUCH,departure,departure,19,7.79,3.07,3,16,0,4.11,1.45,2,7
Aufenthalt,AUFENTHALT,stay,stay,19,6.74,3.11,3,15,0,3.53,1.43,2,7
auffordern,AUFFORDERN,request,request,16,6.31,1.54,4,10,0,3.31,0.79,2,5
Aufgabe,AUFGABE,exercise,exercise,24,5.13,1.54,3,8,0,2.83,0.70,2,4
aufgeben,AUFGEBEN,give up,give up,20,6.30,1.84,4,10,0,3.30,0.98,2,5
aufhalten,AUFHALTEN,keep back,keep back,27,6.09,2.37,2,12,0,3.26,1.16,1,6
aufhören,AUFHÖREN,stop,stop,27,4.19,1.96,1,9,0,2.33,1.00,1,5
Aufkleber,AUFKLEBER,sticker,sticker,24,4.54,1.61,2,10,0,2.50,0.78,1,5
aufleben,AUFLEBEN,liven up,liven up,17,8.94,3.56,4,15,0,4.71,1.76,2,7
Aufnahme,AUFNAHME,recording,recording,24,6.83,2.14,4,12,0,3.63,1.01,2,6
aufnehmen,AUFNEHMEN,take up,take up,17,6.47,3.41,1,15,0,3.35,1.62,1,7
Aufpreis,AUFPREIS,extra charge,extra charge,14,10.00,3.92,2,18,0,5.00,1.66,1,7
aufregen,AUFREGEN,annoy,annoy,19,5.32,2.69,2,14,0,2.95,1.27,1,7
Aufsatz,AUFSATZ,essay,essay,24,7.67,1.90,4,12,0,3.96,0.95,2,6
Aufstand,AUFSTAND,revolt,revolt,17,9.59,3.32,5,16,0,4.82,1.59,3,7
Aufstieg,AUFSTIEG,climb,climb,19,8.37,2.75,3,15,0,4.32,1.20,2,7
Auftrag,AUFTRAG,instruction,instruction,19,7.05,2.80,2,16,0,3.63,1.21,1,7
auftreten,AUFTRETEN,appear,appear,27,6.74,2.44,2,12,0,3.70,1.23,1,6
Aufwand,AUFWAND,expenditure,expenditure,17,8.35,3.32,3,15,0,4.41,1.46,2,7
Auge,AUGE,eye,eye,26,2.69,1.12,1,6,0,1.58,0.64,1,3
August,AUGUST,August,August,18,4.67,1.50,2,8,0,2.50,0.79,1,4
ausbaden,AUSBADEN,carry the can for,carry the can for,18,7.56,2.41,3,11,0,4.06,1.21,2,6
Ausbildung,AUSBILDUNG,training,training,25,9.08,2.53,4,14,0,4.76,1.23,2,7
Ausblick,AUSBLICK,view,view,14,6.00,2.32,4,13,0,3.21,1.25,2,7
Ausbruch,AUSBRUCH,outburst,outburst,14,6.50,2.10,3,10,0,3.43,0.94,2,5
Ausdauer,AUSDAUER,stamina,stamina,25,7.92,2.29,4,12,0,4.16,1.18,2,6
Ausfall,AUSFALL,breakdown,breakdown,16,6.69,2.24,4,13,0,3.56,1.21,2,7
Ausflug,AUSFLUG,outing,outing,26,4.58,1.58,2,8,0,2.50,0.81,1,4
Ausgabe,AUSGABE,giving out,giving out,23,7.48,2.43,3,15,0,3.96,1.11,2,7
ausgeben,AUSGEBEN,give out,give out,19,5.05,1.47,2,8,0,2.63,0.76,1,4
Auskunft,AUSKUNFT,information,information,17,7.71,2.47,4,13,0,4.06,1.25,2,7
auslöffeln,AUSLÖFFELN,take consequences,take consequences,14,4.86,2.96,1,13,0,2.71,1.54,1,7
auslösen,AUSLÖSEN,set off,set off,15,8.00,2.75,3,12,0,4.20,1.32,2,6
Ausmaß,AUSMAß,dimension,dimension,15,8.13,2.13,4,12,0,4.20,1.08,2,6
Ausnahme,AUSNAHME,exception,exception,24,6.00,2.19,2,11,0,3.29,1.20,1,6
ausreden,AUSREDEN,finish speaking,finish speaking,27,6.85,3.18,2,16,0,3.52,1.50,1,7
Aussage,AUSSAGE,statement,statement,22,8.32,2.61,4,13,0,4.36,1.36,2,7
aussetzen,AUSSETZEN,be exposed,be exposed,23,6.87,2.67,2,10,0,3.57,1.31,1,5
Aussicht,AUSSICHT,view,view,15,5.80,2.21,2,10,0,3.07,1.10,1,5
Auster,AUSTER,oyster,oyster,15,7.67,2.82,4,12,0,4.00,1.36,2,6
Auswahl,AUSWAHL,selection,selection,19,5.95,1.47,3,8,0,3.16,0.76,2,4
auswendig,AUSWENDIG,by heart,by heart,19,5.47,1.74,2,10,0,2.95,0.85,1,5
Auswirkung,AUSWIRKUNG,repercussion,repercussion,10,8.30,2.21,4,11,0,4.40,1.26,2,6
Auto,AUTO,car ,car ,26,2.92,1.09,1,5,0,1.69,0.62,1,3
Autor,AUTOR,author,author,17,7.88,2.83,4,16,0,4.00,1.22,2,7
Autoradio,AUTORADIO,car radio,car radio,17,6.82,4.05,3,20,0,3.53,1.42,2,7
Autorisation,AUTORISATION,authorisation,authorization,25,12.48,3.56,4,19,0,6.00,1.32,2,7
Autorität,AUTORITÄT,authority,authority,25,10.56,3.33,3,16,0,5.32,1.49,2,7
Avocado,AVOCADO,avocado,avocado,13,12.38,4.75,5,20,0,5.62,1.61,3,7
Baby,BABY,baby,baby,16,3.38,1.36,2,7,0,1.88,0.81,1,4
Bach,BACH,brook,brook,14,4.07,1.21,2,6,0,2.29,0.61,1,3
Backe,BACKE,cheek,cheek,24,3.58,1.59,1,7,0,2.08,0.88,1,4
backen,BACKEN,bake,bake,27,3.70,1.41,2,7,0,2.11,0.75,1,4
Backenhörnchen,BACKENHÖRNCHEN,chipmunk,chipmunk,16,9.56,4.47,2,18,3,4.75,1.95,1,7
Bad,BAD,bath,bath,20,2.65,1.09,1,5,0,1.60,0.60,1,3
Bagger,BAGGER,digger,digger,17,2.71,1.36,0,5,0,1.71,0.69,1,3
Baguette,BAGUETTE,baguette,baguette,23,7.91,3.84,2,16,0,4.04,1.80,1,7
Bahre,BAHRE,stretcher,stretcher,24,8.92,3.12,4,18,0,4.63,1.28,2,7
Bakterie,BAKTERIE,bacterium,bacterium,16,7.44,3.05,2,12,0,3.88,1.45,1,6
Balance,BALANCE,balance,balance,10,7.90,1.45,5,10,0,4.10,0.57,3,5
Balkon,BALKON,balcony,balcony,14,4.43,1.91,2,9,0,2.43,1.02,1,5
Ball,BALL,ball,ball,17,2.47,1.12,1,4,0,1.47,0.51,1,2
Ballast,BALLAST,ballast,ballast,19,8.84,2.63,5,13,0,4.58,1.22,3,7
Ballett,BALLETT,ballet,ballet,17,6.88,3.10,4,16,0,3.59,1.37,2,7
Ballon,BALLON,balloon,balloon,19,3.74,2.23,2,12,0,2.05,1.13,1,6
Balsam,BALSAM,balsam,balsam,19,9.74,3.28,4,15,0,4.95,1.58,2,7
Banane,BANANE,banana,banana,24,3.38,2.70,1,15,0,1.92,1.25,1,7
Band,BAND,ribbon,ribbon,16,4.75,1.48,2,7,0,2.69,0.79,1,4
Bandit,BANDIT,bandit,bandit,26,7.58,3.71,4,17,0,3.92,1.65,2,7
Bank,BANK,bench,bench,20,4.30,2.32,2,10,0,2.35,1.18,1,5
bankrott,BANKROTT,bankrupt,bankrupt,21,10.67,2.82,6,16,0,5.43,1.25,3,7
Banner,BANNER,banner,banner,15,9.73,2.60,6,15,0,4.93,1.22,3,7
Bar,BAR,bar,bar,17,9.53,3.48,5,18,0,4.88,1.36,3,7
Bär,BÄR,bear,bear,26,3.04,1.15,1,6,0,1.69,0.55,1,3
barfuß,BARFUß,barefoot,barefoot,10,3.90,1.20,2,6,0,2.00,0.67,1,3
Bargeld,BARGELD,cash,cash,27,6.83,2.18,3,12,0,3.59,1.12,2,6
Barke,BARKE,skiff,skiff,11,13.18,1.72,10,16,3,6.45,0.69,5,7
Barkeeper,BARKEEPER,bar keeper,bar keeper,25,11.56,3.75,5,20,0,5.64,1.35,3,7
Barometer,BAROMETER,barometer,barometer,16,9.63,2.03,7,14,0,4.94,1.00,4,7
Barriere,BARRIERE,barrier,barrier,17,9.24,3.33,6,20,0,4.76,1.15,3,7
Baseball,BASEBALL,baseball,baseball,18,9.22,4.12,5,24,0,4.56,1.15,3,7
Basis,BASIS,basis,basis,17,9.47,3.37,5,19,0,4.76,1.30,3,7
Basketball,BASKETBALL,basketball,basketball,19,7.32,3.45,3,18,0,3.74,1.33,2,7
Bass,BASS,bass,bass,19,7.89,3.11,3,14,0,4.11,1.52,2,7
Bassist,BASSIST,bassist,bassist,24,9.63,2.90,4,14,1,5.00,1.44,2,7
Batterie,BATTERIE,battery,battery,16,5.94,2.17,3,10,0,3.19,1.05,2,5
Bauch,BAUCH,belly,belly,19,2.21,1.03,1,4,0,1.42,0.51,1,2
Bauchweh,BAUCHWEH,stomach ache,stomach ache,18,3.11,1.32,1,6,0,1.89,0.76,1,3
bauen,BAUEN,build,build,25,3.48,1.50,1,8,0,1.92,0.70,1,4
Bauer,BAUER,farmer,farmer,14,4.29,1.38,3,7,0,2.50,0.65,2,4
Baum,BAUM,tree,tree,26,2.85,1.26,1,7,0,1.69,0.74,1,4
Baumarkt,BAUMARKT,DIY shop,DIY store,22,8.14,4.65,3,20,0,3.95,1.62,2,7
baumeln,BAUMELN,dangle,dangle,14,7.36,2.92,4,15,0,3.79,1.31,2,7
Baumwolle,BAUMWOLLE,cotton,cotton,16,7.81,2.81,3,15,0,4.06,1.29,2,7
beachten,BEACHTEN,comply,comply,23,6.22,2.09,3,10,0,3.30,0.97,2,5
Beamte,BEAMTE,public official,public official,20,9.05,3.86,2,16,0,4.60,1.73,1,7
beantragen,BEANTRAGEN,apply,apply,24,10.29,3.09,5,18,0,5.33,1.37,3,7
Becher,BECHER,mug,mug,18,3.00,0.77,2,4,0,1.72,0.46,1,2
bedauern,BEDAUERN,be afraid,be afraid,17,8.06,2.77,3,14,0,4.24,1.35,2,7
bedeuten,BEDEUTEN,mean,mean,24,6.50,2.57,2,13,0,3.46,1.32,1,7
